int_ftse,int_dax,int_nikkei,int_spx
11.0,2.0,13.0,-3.0
24.0,-1.0,-120.0,4.0
39.0,6.0,257.0,4.0
-1.0,-6.0,212.0,3.0
19.0,8.0,232.0,-4.0
-24.0,-3.0,1.0,4.0
28.0,-7.0,-145.0,-2.0
-30.0,3.0,0.0,0.0
22.0,13.0,-24.0,1.0
24.0,37.0,328.0,2.0
0.0,-5.0,145.0,5.0
7.0,7.0,-155.0,1.0
9.0,5.0,211.0,-2.0
16.0,12.0,89.0,1.0
-11.0,-5.0,64.0,7.0
-5.0,4.0,-18.0,4.0
-2.0,9.0,188.0,3.0
-23.0,-14.0,345.0,-4.0
-9.0,17.0,-126.0,1.0
22.0,3.0,-60.0,2.0
2.0,-2.0,86.0,-1.0
8.0,5.0,-29.0,3.0
9.0,3.0,216.0,-5.0
-29.0,-3.0,-153.0,0.0
-46.0,-43.0,-35.0,-10.0
-20.0,-1.0,-171.0,5.0
37.0,29.0,308.0,-6.0
20.0,0.0,205.0,5.0
25.0,11.0,91.0,1.0
0.0,0.0,31.0,0.0
0.0,0.0,129.0,3.0
18.0,1.0,107.0,0.0
0.0,-7.0,-138.0,0.0
13.0,-13.0,-5.0,1.0
0.0,0.0,0.0,0.0
-2.0,47.0,0.0,5.0
28.0,19.0,0.0,1.0
-1.0,6.0,750.0,-4.0
-10.0,-17.0,51.0,-1.0
16.0,21.0,-106.0,2.0
-20.0,15.0,89.0,-9.0
-29.0,-11.0,-40.0,-11.0
-17.0,-10.0,-235.0,4.0
3.0,23.0,-90.0,-1.0
5.0,8.0,0.0,-2.0
48.0,0.0,280.0,9.0
-6.0,14.0,3.0,-2.0
44.0,14.0,-200.0,2.0
0.0,11.0,-5.0,3.0
6.0,-9.0,-169.0,2.0
-20.0,2.0,-116.0,-1.0
24.0,43.0,232.0,7.0
-24.0,1.0,102.0,-2.0
0.0,12.0,249.0,4.0
0.0,-12.0,-74.0,3.0
1.0,19.0,133.0,6.0
24.0,7.0,90.0,6.0
-7.0,9.0,123.0,2.0
29.0,-13.0,-31.0,-3.0
-35.0,-43.0,-251.0,6.0
1.0,21.0,98.0,5.0
-21.0,5.0,192.0,3.0
-18.0,-31.0,175.0,7.0
8.0,24.0,-184.0,0.0
10.0,-7.0,0.0,5.0
21.0,8.0,-150.0,-1.0
-3.0,-9.0,150.0,-5.0
35.0,-1.0,-48.0,-4.0
-9.0,-3.0,-84.0,-4.0
-26.0,-36.0,-81.0,0.0
-30.0,-14.0,-66.0,-7.0
11.0,28.0,-283.0,8.0
15.0,20.0,-32.0,10.0
0.0,28.0,-40.0,1.0
-36.0,-11.0,180.0,-9.0
11.0,11.0,-480.0,-3.0
23.0,37.0,-81.0,-3.0
-11.0,-1.0,206.0,-4.0
25.0,3.0,43.0,4.0
16.0,-2.0,-105.0,6.0
9.0,-14.0,120.0,5.0
-19.0,-1.0,58.0,-3.0
0.0,8.0,-284.0,1.0
-48.0,-31.0,198.0,-20.0
-36.0,-29.0,-359.0,7.0
-35.0,-4.0,154.0,-3.0
1.0,2.0,-216.0,1.0
41.0,15.0,189.0,2.0
-37.0,26.0,267.0,1.0
25.0,14.0,95.0,11.0
24.0,12.0,157.0,-1.0
-8.0,7.0,0.0,-2.0
13.0,14.0,285.0,0.0
9.0,-26.0,-27.0,1.0
-26.0,35.0,215.0,0.0
-21.0,-9.0,99.0,2.0
12.0,18.0,315.0,-4.0
0.0,-21.0,-34.0,0.0
27.0,-13.0,111.0,-3.0
19.0,11.0,154.0,8.0
10.0,8.0,40.0,2.0
-3.0,-19.0,-136.0,0.0
30.0,9.0,7.0,0.0
0.0,0.0,224.0,0.0
0.0,0.0,-271.0,-11.0
3.0,12.0,320.0,-2.0
9.0,15.0,47.0,-9.0
-23.0,-17.0,-97.0,-2.0
22.0,18.0,-34.0,5.0
24.0,14.0,223.0,6.0
35.0,7.0,-15.0,3.0
-20.0,-28.0,-52.0,-4.0
15.0,5.0,-4.0,2.0
37.0,11.0,71.0,2.0
-5.0,14.0,240.0,2.0
-19.0,0.0,-4.0,4.0
-16.0,-25.0,143.0,-1.0
2.0,14.0,-32.0,2.0
13.0,1.0,5.0,1.0
